Accession	Sample Name	SPUID	Organism	Tax ID	Strain
SAMN15362206	MuVs_Washington.USA_16.17_FH152_G	MuVs_Washington.USA_16.17_FH152_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/16.17/FH152[G]
SAMN15362207	MuVs_Wisconsin.USA_41.06_FH153_G	MuVs_Wisconsin.USA_41.06_FH153_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/41.06/FH153[G]
SAMN15362208	MuVs_Wisconsin.USA_7.07_FH154_G	MuVs_Wisconsin.USA_7.07_FH154_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/7.07/FH154[G]
SAMN15362209	MuVs_Missouri.USA_33.17_FH155_G	MuVs_Missouri.USA_33.17_FH155_G	Mumps rubulavirus	1979165	MuVs/Missouri.USA/33.17/FH155[G]
SAMN15362210	MuVs_Alabama.USA_50.17_FH156_G	MuVs_Alabama.USA_50.17_FH156_G	Mumps rubulavirus	1979165	MuVs/Alabama.USA/50.17/FH156[G]
SAMN15362211	MuVs_Ohio.USA_46.17_FH157_G	MuVs_Ohio.USA_46.17_FH157_G	Mumps rubulavirus	1979165	MuVs/Ohio.USA/46.17/FH157[G]
SAMN15362212	MuVs_Washington.USA_49.16_FH158_G	MuVs_Washington.USA_49.16_FH158_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/49.16/FH158[G]
SAMN15362213	MuVs_Wisconsin.USA_28.06_FH159_G	MuVs_Wisconsin.USA_28.06_FH159_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/28.06/FH159[G]
SAMN15362214	MuVs_Washington.USA_1.17_FH160_G	MuVs_Washington.USA_1.17_FH160_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/1.17/FH160[G]
SAMN15362215	MuVs_Washington.USA_5.17_FH161_G	MuVs_Washington.USA_5.17_FH161_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/5.17/FH161[G]
SAMN15362216	MuVs_Washington.USA_5.17_FH162_G	MuVs_Washington.USA_5.17_FH162_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/5.17/FH162[G]
SAMN15362217	MuVs_Wisconsin.USA_51.15_FH163_G	MuVs_Wisconsin.USA_51.15_FH163_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/51.15/FH163[G]
SAMN15362218	MuVs_Alabama.USA_7.17_FH164_G	MuVs_Alabama.USA_7.17_FH164_G	Mumps rubulavirus	1979165	MuVs/Alabama.USA/7.17/FH164[G]
SAMN15362219	MuVs_Missouri.USA_24.17_FH165_G	MuVs_Missouri.USA_24.17_FH165_G	Mumps rubulavirus	1979165	MuVs/Missouri.USA/24.17/FH165[G]
SAMN15362220	MuVs_Washington.USA_7.17_FH166_G	MuVs_Washington.USA_7.17_FH166_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/7.17/FH166[G]
